time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292097101; 2527; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292097104; 2528; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292097108; 2529; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097201; 106; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292097214; 107; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097225; 108; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097237; 109; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292097905; 210; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097909; 211; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097913; 212; 0.900000; 0.050000; 0.050000; "LOST"; -0.912500; 
1292097916; 213; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292097920; 214; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292097923; 215; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292097930; 216; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292097933; 217; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097937; 218; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292097940; 219; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292098318; 320; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098322; 321; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292098325; 322; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098331; 323; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292098334; 324; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098338; 325; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098341; 326; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098344; 327; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098348; 328; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098351; 329; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098717; 430; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292098720; 431; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098724; 432; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292098730; 433; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
