1292029110;3075;" "" 3075,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029114;3076;" "" 3076,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029118;3077;" "" 3077,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029122;3078;" "" 3078,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292029125;3079;" "" 3079,  0.99";  0.01;  0.50;" LOST   0.00"""; ;;;
1292029514;3180;" "" 3180,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292029518;3181;" "" 3181,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029522;3182;" "" 3182,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029525;3183;" "" 3183,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;2;8;0,25
1292029529;3184;" "" 3184,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029533;3185;" "" 3185,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029537;3186;" "" 3186,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029540;3187;" "" 3187,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292029544;3188;" "" 3188,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029548;3189;" "" 3189,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029936;3290;" "" 3290,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029940;3291;" "" 3291,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029944;3292;" "" 3292,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;;;
1292029948;3293;" "" 3293,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292029951;3294;" "" 3294,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029955;3295;" "" 3295,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029959;3296;" "" 3296,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029963;3297;" "" 3297,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292029966;3298;" "" 3298,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292029970;3299;" "" 3299,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
